date,Symbol,monthly_avg,monthly_base,compounded_total,index,Name,Exchange,Sector,Industry,DateAdded,Founded,City,State,Country,2021Price,2021Marketcap,2021Ebitda,2021Revenuegrowth,2021Fulltimeemployees
2013-01,SPGI,0.0,1.0,1.0,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2013-02,SPGI,0.006313332048078879,1.207804916541517,1.207804916541517,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2013-03,SPGI,0.005723217368012073,1.1867364485525498,1.4333461172007886,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2013-04,SPGI,0.0017836786115342632,1.0549176345643252,1.512062095469416,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2013-05,SPGI,0.00042458454744830445,1.012816266407854,1.53144108611017,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2013-06,SPGI,-0.0012121497878289811,0.9642674828073596,1.4767188411712224,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2013-07,SPGI,0.006976452100085381,1.2319113145499514,1.8191866488479216,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2013-08,SPGI,-0.002564249234211366,0.9258655247144721,1.684322201189143,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2013-09,SPGI,0.005895648383571472,1.1928556182459327,2.009153200624825,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2013-10,SPGI,0.0027074173814266335,1.084493185651746,2.178912955008018,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2013-11,SPGI,0.0033906555908527424,1.1068826140092756,2.41180086733795,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2013-12,SPGI,0.0023815749283110366,1.0739702593275957,2.590202402941458,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2014-01,SPGI,-0.0012674907089263363,0.962665923485643,2.4934995882423703,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2014-02,SPGI,0.0025399601859505084,1.0790728477858897,2.690667701637638,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2014-03,SPGI,-0.001972966456152086,0.9424735162280383,2.535883049763639,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
2014-04,SPGI,-0.0013801992229436238,0.9594121006604814,2.4329568838030413,404451,S&P Global Inc.,NYQ,Financials,Financial Exchanges & Data,1957-03-04,1917,New York,NY,United States,325.17,78365974528,4710000128.0,0.118,22850.0
